代码,中文全称,中文名称,简称,省会或首府,地区,英文名称
11,北京市,北京,京,通州区,华北,beijing
12,天津市,天津,津,河西区,华北,tianjin
13,河北省,河北,冀,石家庄市,华北,hebei
14,山西省,山西,晋,太原市,华北,shanxi
15,内蒙古自治区,内蒙古,内蒙古,呼和浩特市,华北,Inner Mongolia
21,辽宁省,辽宁,辽,沈阳市,东北,liaoning
22,吉林省,吉林,吉,长春市,东北,jilin
23,黑龙江省,黑龙江,黑,哈尔滨市,东北,heilongjiang
31,上海市,上海,沪,黄浦区,华东,shanghai
32,江苏省,江苏,苏,南京市,华东,jiangsu
33,浙江省,浙江,浙,杭州市,华东,zhejaing
34,安徽省,安徽,皖,合肥市,华东,anhui
35,福建省,福建,闽,福州市,华东,fujian
36,江西省,江西,赣,南昌市,华东,jaingxi
37,山东省,山东,鲁,济南市,华东,shandong
41,河南省,河南,豫,郑州市,中南,henan
42,湖北省,湖北,鄂,武汉市,中南,hubei
43,湖南省,湖南,湘,长沙市,中南,hunan
44,广东省,广东,粤,广州市,中南,guangdong
45,广西壮族自治区,广西,桂,南宁市,中南,guangxi
46,海南省,海南,琼,海口市,中南,hainan
50,重庆市,重庆,渝,渝中区,西南,chongqing
51,四川省,四川,川,成都市,西南,sichuan
52,贵州省,贵州,黔,贵阳市,西南,guizhou
53,云南省,云南,滇,昆明市,西南,yunnan
54,西藏自治区,西藏,藏,拉萨市,西南,tibet
61,陕西省,陕西,陕,西安市,西北,shaanxi
62,甘肃省,甘肃,甘,兰州市,西北,gansu
63,青海省,青海,青,西宁市,西北,qinghai
64,宁夏回族自治区,宁夏,宁,银川市,西北,ningxia
65,新疆维吾尔自治区,新疆,新,乌鲁木齐市,西北,xinjiang
81,香港特别行政区,香港,港,,中南,Hong Kong
82,澳门特别行政区,澳门,澳,,中南,Macau
83,台湾省,台湾,台,台北市,华东,taiwan